Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  40.0  9.3384540081  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  20.0  10.1966490746  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  12.0  12.8868169785  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  6.0  21.2329630852  
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none  3705.0  11.018611908  
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none  1881.0  13.9264769554  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  ---  40.1703441143  
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none  957.0  17.2812459469  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  957.0  8.51983594894  
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none  493.0  16.3666849136  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  493.0  11.6277401447  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  255.0  13.774720192  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  135.0  15.5111539364  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  72.0  21.3227701187  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  255.0  7.98742985725  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  135.0  11.9641878605  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2  40.0  38.6790890694  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  72.0  11.2283279896  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  40.0  13.9799790382  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  20.0  19.3976471424  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  72.0  5.7390639782  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  40.0  9.25288105011  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4  12.0  37.3671448231  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  20.0  10.1119949818  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  4.0  68.5702950954  
AANVG_Reduced_TCalib5Small_none_none  23125.0  994.952517033  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  6.0  51.2368621826  
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8  12.0  76.1655950546  
AMT_IO_Pressure_Model_none_none  3705.0  13.3133308887  
AMT_IO_Pressure_Model_none_none  1881.0  40.5883021355  
AMT_IO_Pressure_Model_none_none  5859.0  30.5639989376  
AMT_IO_Pressure_Model_none_none  493.0  21.2158510685  
AMT_IO_Pressure_Model_ScaleXY_2  957.0  11.7955369949  
AMT_IO_Pressure_Model_none_none  255.0  28.4645910263  
AMT_IO_Pressure_Model_ScaleXY_2  493.0  13.0022759438  
AMT_IO_Pressure_Model_ScaleXY_2  255.0  14.9939539433  
AMT_IO_Pressure_Model_ScaleXY_2  135.0  16.748759985  
AMT_IO_Pressure_Model_ScaleXY_2  72.0  22.0513968468  
AMT_IO_Pressure_Model_ScaleXY_4  255.0  9.91914415359  
AMT_IO_Pressure_Model_ScaleXY_4  135.0  10.7810518742  
AMT_IO_Pressure_Model_ScaleXY_2  40.0  40.6456420422  
AMT_IO_Pressure_Model_ScaleXY_4  72.0  33.8532230854  
AMT_IO_Pressure_Model_ScaleXY_4  40.0  22.3136560917  
AMT_IO_Pressure_Model_ScaleXY_4  20.0  21.4142570496  
AMT_IO_Pressure_Model_ScaleXY_4  12.0  35.8420979977  
AMT_IO_Pressure_Model_ScaleXY_8  72.0  5.59931588173  
AMT_IO_Pressure_Model_ScaleXY_8  40.0  10.4826340675  
AMT_IO_Pressure_Model_ScaleXY_8  20.0  10.8022789955  
AMT_IO_Pressure_Model_ScaleXY_8  12.0  13.4084889889  
AMT_IO_Pressure_Model_ScaleXY_8  6.0  19.6741638184  
